id,ssn,iNumber,soName,date
59,420802284,1842,Under Investigation,1990-9-1
60,743796465,36,Arrested,2009-11-28
61,472927990,2048,Under Parole,1981-5-12
62,482463479,1537,Arrested,1999-11-17
63,502206200,643,In Jail,2002-3-16
64,371379967,644,Under Investigation,1998-9-24
65,731885311,439,Arrested,2007-9-14
66,616951553,436,Under Investigation,1998-9-27
67,705351425,2167,Under Investigation,1985-7-24
68,255954691,2163,Arrested,2017-3-2
69,426848000,2162,Under Investigation,2017-5-21
70,415895301,330,Arrested,1987-1-16
71,193711871,1908,Under Parole,2004-8-8
72,407949063,2481,Under Investigation,1990-5-2
73,527191816,855,Under Investigation,1985-7-12
74,841264904,857,Arrested,1999-9-14
75,560967435,859,Under Investigation,1990-5-5
76,326618892,2684,In Jail,1999-9-18
77,953872139,2249,In Jail,1987-10-1
78,505016081,90,Arrested,1987-10-7
79,796086035,1991,Under Investigation,1999-5-3
80,318869267,1624,Under Investigation,1999-10-1
81,696307478,1999,Under Investigation,1984-4-17
82,736243478,348,Under Parole,2014-10-21
83,903581468,2862,Under Investigation,2000-8-18
84,695717660,2863,Under Investigation,1996-5-18
85,952078110,559,Arrested,2000-8-13
86,528133919,555,Under Investigation,2004-6-4
87,705089312,550,Arrested,2004-6-6
88,812748577,552,In Jail,2000-8-16
89,352603939,2947,Under Investigation,2013-8-22
90,146050853,2946,Arrested,1980-11-7
91,646623014,237,Under Parole,2007-6-3
92,678530855,2942,In Jail,1990-1-11
93,220720935,232,In Jail,2010-11-12
94,658943790,1312,In Jail,2010-11-15
95,510570289,1051,Arrested,1994-8-4
96,988696370,1053,Under Parole,2014-12-13
97,910946099,2340,Under Parole,2014-12-15
98,678481716,2222,Arrested,2017-8-21
99,457731893,2221,Arrested,2000-12-26
100,775696183,1697,Under Investigation,1993-4-16
101,568651575,1695,Under Parole,2011-10-3
102,356208441,1693,Under Investigation,2010-8-11
103,273108791,1690,Under Investigation,1995-1-28
104,615141179,1691,Under Parole,1991-11-1
105,832212798,146,Under Investigation,1980-12-14
106,780644159,1176,Arrested,2017-11-23
107,590827329,145,Arrested,1992-4-8
108,127127365,1173,Under Investigation,1999-6-15
109,253914949,1270,In Jail,2013-10-28
110,346558278,1271,Under Investigation,1981-7-17
111,891375432,1272,In Jail,2003-7-25
112,615550793,1274,Under Parole,1993-2-4
113,179015494,1178,Arrested,2011-5-17
114,121925449,1889,Under Parole,2003-7-28
115,722177870,1880,Under Parole,1983-8-22
116,692088658,2121,In Jail,1988-2-13
117,561385300,2122,Under Parole,2012-12-4
118,805130071,2083,Arrested,2012-12-7
119,253292376,2084,Arrested,1996-7-15
120,506646362,2085,Arrested,1982-12-6
121,243265371,2539,In Jail,1982-3-1
122,149221212,684,Under Parole,1985-3-25
123,869650269,1571,In Jail,1985-3-27
124,293769056,1570,Under Parole,1992-11-16
125,776679267,680,Under Parole,1982-7-13
126,928673642,1304,Arrested,1982-7-14
127,550752106,2713,In Jail,2000-7-17
128,881536880,2710,Under Investigation,2015-5-3
129,436359027,2716,Under Parole,1990-3-21
130,493424500,1302,Under Parole,2006-6-18
131,949137269,130,Under Investigation,2005-1-2
132,658739060,137,Under Investigation,2010-6-24
133,636071799,627,Under Investigation,2010-6-26
134,754831224,490,In Jail,2016-6-27
135,383995764,492,Arrested,2017-10-11
136,685977467,493,Under Parole,1985-8-26
137,997363579,24,Under Parole,2001-7-25
138,547843971,1836,Arrested,1995-3-7
139,861835140,1835,Arrested,2005-2-13
140,632663939,28,In Jail,2017-6-3
141,667758470,1371,Arrested,1985-10-6
142,184987527,1373,Arrested,2003-12-25
143,542166920,2402,Under Parole,1982-5-27
144,727371661,402,In Jail,1995-12-26
145,757862286,1376,Under Parole,1982-11-24
146,411905933,2015,In Jail,2011-12-18
147,858197904,2017,In Jail,2003-6-18
148,522661778,2011,Under Investigation,1987-2-17
149,809529234,935,Under Parole,2005-12-26
150,411250580,2503,Arrested,1984-3-6
151,878604181,1957,Under Parole,2016-12-26
152,562769812,1956,Under Parole,2001-8-21
153,341159831,1951,Under Investigation,1986-2-18
154,115978131,1950,In Jail,1995-5-24
155,225505174,1958,Under Investigation,1995-5-27
156,663490462,371,Arrested,1992-12-17
157,186871713,827,In Jail,1992-10-3
158,213544871,826,Arrested,1982-5-11
159,312987560,820,In Jail,1987-8-8
160,175083433,377,Under Investigation,1995-5-28
161,169881514,822,Under Parole,1982-4-12
162,380981164,2907,Under Investigation,1986-3-27
163,465350573,2905,Under Investigation,1986-5-5
164,117567409,2909,Arrested,1982-4-14
165,277458865,703,Under Parole,2013-7-8
166,743075763,619,Arrested,2002-5-2
167,574107571,176,Under Parole,1996-9-7
168,762408885,398,In Jail,2000-12-17
169,282791861,2309,Under Parole,2007-11-7
170,420425661,1711,Under Parole,2001-12-6
171,115552190,1716,Under Investigation,2001-10-8
172,518139840,799,Under Parole,1984-11-27
173,509824963,7,Under Investigation,1998-11-8
174,348196806,1653,Under Parole,2008-4-22
175,866561992,1651,Under Parole,1991-3-25
176,497037260,585,Under Parole,2005-5-7
177,471592909,580,Under Parole,1999-4-1
178,740822989,1987,Arrested,1996-6-7
179,208728015,1132,Arrested,1987-9-14
180,622669774,1135,In Jail,1980-4-27
181,609767374,246,Under Investigation,1986-9-5
182,833007570,2831,In Jail,2001-3-23
183,874090451,2830,In Jail,1987-11-25
184,109383636,2578,Under Investigation,2011-8-5
185,743059414,2575,Under Parole,2012-11-14
186,969879511,2279,Under Parole,2009-7-7
187,761196505,2278,Arrested,2009-7-4
188,531861466,2570,In Jail,1983-5-21
189,573714403,519,Arrested,2005-9-25
190,513814503,2374,In Jail,1999-1-1
191,152678379,2377,Arrested,1993-11-21
192,657985519,1003,Under Investigation,2015-2-22
193,496914415,2459,Under Parole,1984-9-15
194,924200948,625,In Jail,1993-1-22
195,564662265,1220,Under Investigation,2007-5-13
196,736120827,2455,Under Investigation,2008-9-27
197,431788028,451,Arrested,2008-9-25
198,675311618,454,Arrested,1997-4-23
199,741617666,2453,Under Parole,1991-9-7
200,192516102,1875,Arrested,1991-9-6
201,526725126,179,Under Investigation,1990-11-23
202,421810184,1083,Arrested,1983-9-24
203,451391497,172,In Jail,1994-12-21
204,666193930,1879,In Jail,1987-1-21
205,770641930,2055,In Jail,2007-2-8
206,856068108,978,Arrested,2009-6-23
207,639537165,2118,Arrested,2007-4-26
208,416526350,1505,Under Investigation,2007-2-5
209,226881547,1509,In Jail,2000-3-3
210,679546897,2627,Under Parole,1999-9-5
211,862097428,1911,Arrested,1993-9-15
212,582144022,1910,Under Parole,2000-3-6
213,512274455,869,In Jail,1999-9-1
214,634482710,18,In Jail,1989-11-28
215,602198041,863,In Jail,2016-6-16
216,702033943,865,In Jail,2016-6-12
217,295424027,866,Under Investigation,1984-4-21
218,408064031,2020,Under Parole,2000-8-28
219,729894945,2698,Under Parole,1995-9-1
220,778842146,2694,Under Parole,1986-11-11
221,310988835,2691,Arrested,1998-9-6
222,839225379,1968,Under Investigation,1986-11-16
223,547344421,1618,Arrested,1999-12-3
224,419999777,1616,Under Parole,1982-1-17
225,423571494,1617,Arrested,2003-1-7
226,815498240,1471,Under Investigation,2006-1-7
227,401518633,774,In Jail,2004-5-5
228,457240619,776,Arrested,1998-12-15
229,333762604,770,In Jail,1990-10-14
230,377712685,2978,Arrested,1985-2-26
231,780316715,1572,Arrested,1985-1-4
232,354545712,2970,Arrested,2013-12-4
233,749391924,2974,In Jail,2004-1-12
234,576491572,2330,Under Investigation,1997-8-5
235,773238839,2238,Under Parole,1981-8-25
236,849760312,2333,In Jail,2011-3-8
237,182603831,2337,In Jail,1986-3-12
238,814477368,1681,Under Investigation,2013-10-13
239,683831353,1685,Under Investigation,1992-2-22
240,108310593,686,Under Investigation,2012-7-26
241,805425220,1265,In Jail,2012-1-26
242,579268676,660,In Jail,2004-3-27
243,423350344,2097,Under Parole,1981-10-1
244,385396809,2098,Under Investigation,2004-3-28
245,767701066,1546,Under Investigation,2011-7-12
246,565416009,1547,In Jail,2011-1-16
247,789319759,691,In Jail,1996-8-27
248,824840274,2521,In Jail,2011-7-18
249,685002835,2520,Under Parole,2000-6-23
250,308670548,2488,Arrested,2006-2-21
251,760229970,2486,Arrested,2009-9-27
252,508686422,1549,Under Parole,2005-3-7
253,436506711,543,Under Parole,2016-1-7
254,398970969,547,In Jail,1996-7-24
255,587673690,544,Arrested,2011-2-14
256,924037215,1781,Under Parole,2012-12-18
257,905687136,1465,Under Investigation,1988-5-1
258,182579296,1467,Under Investigation,1998-3-3
259,888385632,2240,In Jail,2011-9-22
260,448172131,1462,In Jail,2005-1-13
261,873918561,1317,Under Investigation,1989-3-21
262,169824357,11,Under Parole,1998-8-21
263,429543526,990,In Jail,2008-3-25
264,987508838,1311,In Jail,2011-5-21
265,639381608,1310,Under Parole,1998-10-24
266,989786217,2386,Under Investigation,1993-1-13
267,487460971,999,Arrested,1993-7-7
268,685371502,2469,In Jail,2017-1-14
269,931467377,2840,In Jail,2008-9-18
270,223121523,126,Arrested,2009-11-5
271,229716084,1400,Under Parole,2005-6-17
272,116674677,1828,Under Investigation,2007-10-1
273,285487224,1824,In Jail,1990-4-5
274,419680379,2412,Arrested,2007-10-8
275,540700796,2141,Under Investigation,2008-7-11
276,170004605,2062,Under Investigation,2008-7-18
277,147001475,419,Under Parole,2001-8-14
278,742756484,317,Arrested,2001-8-15
279,159969412,315,In Jail,1998-12-17
280,186052744,1922,Arrested,1986-7-27
281,779694225,2768,In Jail,1986-8-3
282,514207892,1925,Arrested,1990-7-2
283,294629527,495,In Jail,1995-5-13
284,386314392,1230,Under Investigation,2010-10-11
285,762441882,2517,Under Parole,1989-11-16
286,853430426,831,In Jail,1995-8-26
287,853242010,835,Arrested,1987-10-23
288,732590235,2664,In Jail,1989-11-11
289,608014495,2661,Under Parole,1982-6-15
290,961769633,2939,Under Investigation,1982-6-17
291,216354980,2935,Under Parole,2002-7-24
292,249483432,2930,In Jail,1982-6-11
293,567169193,380,Arrested,2009-8-11
294,930107563,381,Under Investigation,1990-2-4
295,827699375,385,In Jail,2013-10-5
296,601141423,785,Arrested,2008-2-14
297,784969905,787,Under Parole,2013-8-6
298,934916271,1643,Under Investigation,2015-7-28
299,557559987,1642,Arrested,1991-7-24
300,540291252,1722,Under Parole,1985-7-6
301,499060917,1721,In Jail,1998-11-17
302,507162805,2292,Under Investigation,2009-10-18
303,381374646,2191,In Jail,1995-3-4
304,640512184,63,Under Investigation,1981-1-4
305,610111673,155,Arrested,1982-8-1
306,110694586,257,Under Parole,2016-8-13
307,355643580,2804,Under Parole,2001-10-18
308,861573309,255,Arrested,2017-2-14
309,760221887,2154,Arrested,1981-4-4
310,634998977,1588,Under Parole,2012-1-6
311,670822593,2205,Under Parole,1989-2-4
312,512676034,2206,Under Parole,1999-4-17
313,813576389,1426,Under Investigation,1987-9-21
314,432222406,2560,In Jail,1996-1-8
315,313544909,1039,In Jail,1992-4-25
316,907260111,734,Under Investigation,1992-2-14
317,950210770,2369,In Jail,2011-8-18
318,489633745,2367,Under Parole,1985-12-17
319,251629785,2365,Arrested,1987-11-17
320,976031962,1036,Under Parole,2011-8-13
321,818778332,500,In Jail,1996-1-6
322,350974172,1035,In Jail,1995-8-3
323,485495004,2428,In Jail,2009-7-15
324,894071011,1359,Under Parole,2012-11-3
325,724488420,637,Arrested,1980-10-18
326,485495014,465,In Jail,2010-5-21
327,681726184,466,Under Investigation,2010-5-28
328,215011563,39,In Jail,1987-5-25
329,254079211,462,Arrested,1988-12-3
330,213447950,1848,Under Parole,1985-5-13
331,924176625,1869,Under Parole,1985-5-11
332,687050995,162,In Jail,1990-9-25
333,737718517,964,Under Investigation,1985-3-6
334,589730038,965,Under Parole,2009-2-15
335,625520887,966,In Jail,2011-11-5
336,897847544,2158,Under Investigation,2016-7-18
337,683299065,2897,Under Investigation,2001-12-28
338,499749109,1454,Under Parole,2005-1-27
339,280400124,1456,Under Parole,1998-8-18
340,301658365,1450,In Jail,1984-10-7
341,568611069,1103,Under Parole,2012-2-12
342,607383807,1100,Under Parole,1992-5-16
343,471290113,1101,In Jail,2017-6-28
344,351588613,2516,Under Investigation,2005-11-22
345,216879366,1516,Arrested,2017-7-13
346,926839047,1458,Arrested,1987-12-5
347,347304200,1108,Arrested,2001-7-1
348,964604169,1512,Under Parole,2012-6-26
349,170111240,2736,Under Parole,2014-10-1
350,281284874,2639,Under Parole,1995-12-27
351,569422090,2732,Under Parole,1985-9-18
352,870404365,2733,Arrested,2014-10-5
353,489214222,2631,Arrested,1985-9-12
354,312127759,2739,Under Parole,1982-11-2
355,742101264,254,Under Investigation,2016-2-14
356,824586511,2034,Arrested,2005-8-8
357,258609426,2168,In Jail,2014-3-6
358,171741459,890,Under Investigation,2006-8-3
359,886812948,893,Arrested,1993-10-7
360,719204622,894,In Jail,2006-8-5
361,149647638,896,Arrested,1981-11-5
362,859050263,898,Under Parole,1989-6-13
363,845672720,434,Under Parole,2013-9-22
364,597397785,1978,Under Investigation,1989-6-18
365,982503706,1086,Under Investigation,2000-6-4
366,192368927,1600,Arrested,2004-10-7
367,961212705,1974,In Jail,1986-7-12
368,487092516,1604,Under Investigation,1998-6-28
369,411365670,806,In Jail,1997-8-15
370,510497063,359,Arrested,2001-3-7
371,598839593,768,Under Investigation,1981-8-11
372,774517034,2847,In Jail,1991-6-6
373,736588073,766,Under Parole,2017-11-1
374,959090985,1786,Under Investigation,1980-2-7
375,616190249,1775,In Jail,1996-11-4
376,945565995,2321,Arrested,1980-5-15
377,714493072,1078,Arrested,1991-11-28
378,783135034,1779,Arrested,1984-12-25
379,892539195,1299,Under Investigation,2013-10-2
380,504156475,1679,Under Parole,1986-3-8
381,312308032,572,Under Parole,2004-3-13
382,413552960,1674,Under Parole,1991-7-16
383,859066691,280,Arrested,2013-7-25
384,939364675,1676,In Jail,2016-3-2
385,822972741,282,Under Parole,2001-12-2
386,146092357,285,In Jail,1991-9-27
387,864194887,284,Under Investigation,1983-11-21
388,724701512,1094,Arrested,1988-4-27
389,954511689,1157,Arrested,2016-1-15
390,845992266,264,Under Investigation,1999-3-15
391,489034059,2499,Arrested,1991-3-8
392,204845383,2999,Under Investigation,2013-3-23
393,875393353,1552,In Jail,2006-3-26
394,914993480,1557,In Jail,1999-4-24
395,454455631,2556,In Jail,1998-1-5
396,706793808,1556,In Jail,2006-3-23
397,187748688,2990,In Jail,1998-1-1
398,558313810,2559,In Jail,2011-10-23
399,994693460,2493,In Jail,2011-10-26
400,734122327,56,Under Investigation,1987-12-24
401,822448473,2995,Under Parole,1982-9-11
402,183521628,1565,Under Investigation,2003-10-23
403,595169630,1418,Under Investigation,1985-9-25
404,923636063,2394,In Jail,2007-1-3
405,693825888,2395,Under Investigation,1983-12-5
406,986657120,2259,Under Investigation,1983-12-2
407,264319328,1558,In Jail,1998-9-28
408,787181923,2257,In Jail,2008-8-14
409,380932452,1295,In Jail,1988-7-1
410,772223333,2250,In Jail,2002-11-25
411,680907109,1323,In Jail,2003-11-12
412,107008364,2473,Under Parole,1985-7-27
413,172708204,2773,Arrested,1982-5-5
414,209834351,986,In Jail,1987-7-13
415,155881840,2776,Arrested,2015-9-5
416,667349360,112,Under Parole,2012-9-26
417,459239794,2787,Under Parole,2012-9-25
418,788779380,2782,Arrested,2008-9-8
419,259895668,2789,In Jail,2013-2-14
420,635441530,2788,Under Investigation,1998-1-2
421,674763133,429,Arrested,2005-6-3
422,526446974,2171,Arrested,1997-6-11
423,530616704,918,Under Investigation,2008-9-2
424,439685504,2178,In Jail,2005-10-2
425,120877443,1528,Under Investigation,1988-8-21
426,178311555,2075,Under Investigation,1983-9-7
427,463688069,1390,Under Parole,1989-10-13
428,495931779,1933,In Jail,1994-12-1
429,236278151,1936,Arrested,2017-8-12
430,288223624,846,Under Investigation,1981-2-18
431,815403396,843,Arrested,1982-6-7
432,477409674,374,Under Investigation,2003-2-4
433,956002702,797,In Jail,1998-9-13
434,894448015,1738,In Jail,1999-9-28
435,538276243,1634,Under Investigation,1995-5-3
436,614437268,1635,Under Parole,1991-12-21
437,113119636,1733,Under Investigation,2012-6-15
438,538694038,752,Arrested,1984-4-5
439,168817043,1329,Under Parole,1983-1-16
440,923832728,2813,Under Investigation,2015-8-24
441,255570326,561,Under Parole,2007-6-18
442,543879581,562,Under Investigation,1984-6-11
443,379253150,563,Arrested,2014-8-6
444,547033502,2818,Under Parole,1996-2-13
445,916296096,2182,Under Investigation,1992-7-16
446,131289511,2181,Arrested,1991-8-18
447,658837927,2180,Under Investigation,2010-11-25
448,128946601,2187,Under Investigation,2012-4-26
449,760656297,1593,Arrested,2010-11-23
450,992129451,2184,Under Parole,2010-11-22
451,518214058,2954,Under Parole,1981-3-6
452,889295275,2188,In Jail,2004-10-23
453,399577518,2950,Under Investigation,1999-8-14
454,164860335,222,Under Investigation,2009-10-28
455,690319791,2217,Under Parole,2012-8-17
456,520270257,1188,Under Parole,2014-6-5
457,128750002,1022,In Jail,2014-6-4
458,207270317,1029,Under Investigation,2016-8-7
459,475083179,1181,Under Investigation,2011-10-16
460,686617014,727,Under Parole,1999-7-22
461,929665463,1034,Arrested,2010-1-22
462,958534076,2352,Under Parole,2012-1-18
463,952840640,1747,In Jail,2010-12-7
464,515183042,2357,Under Investigation,2014-2-12
465,773247427,2354,Under Investigation,2016-10-28
466,256659909,151,Arrested,2000-1-15
467,443036104,1167,Under Investigation,1982-10-4
468,288182729,1209,Under Investigation,2006-5-27
469,528060873,154,Arrested,1997-6-22
470,503017930,1163,Under Parole,1982-2-7
471,223310284,2431,In Jail,2009-7-22
472,174625231,2137,Arrested,1995-8-18
473,151744982,46,Under Investigation,2008-10-21
474,451334617,950,In Jail,2008-10-24
475,910725594,45,Under Parole,2006-9-27
476,925659610,42,Under Parole,1982-12-13
477,843551195,956,Under Parole,1998-7-22
478,107999713,1446,Arrested,2017-12-14
479,685986273,1298,Under Parole,1982-4-15
480,911331810,1365,Under Parole,1990-11-5
481,285389287,5,Under Investigation,1995-10-3
482,950243816,2509,Under Parole,1998-3-21
483,409530857,1440,Arrested,2017-12-18
484,976679400,1296,Arrested,2009-2-6
485,848261613,2502,In Jail,2001-4-14
486,547336687,1363,Under Investigation,1980-7-18
487,406745585,2649,Under Parole,1985-8-3
488,913175027,2721,Under Investigation,1989-3-1
489,718033396,2645,Arrested,1980-7-11
490,951931383,2425,Under Parole,1980-7-12
491,463385079,489,Under Parole,1993-2-21
492,121434619,486,In Jail,1998-8-7
493,776204796,482,Under Investigation,1987-12-17
494,277664263,1805,In Jail,2013-6-24
495,245985800,2002,Under Investigation,2007-7-24
496,562639367,1367,In Jail,2013-6-21
497,380154378,2001,Arrested,2011-12-24
498,936768011,477,In Jail,2013-2-26
499,925577738,2009,Under Parole,1987-7-28
