ssn,badgeNum,rank,pName
714388511,67234,Regular,86th
627758112,67243,Sergeant,42nd
558494754,50862,Major,31st
854520865,42676,Sergeant,166th
116675619,83638,Cadet,123rd
629863461,34488,Sergeant,32nd
595825711,74017,Commander,36th
534508592,26314,Commander,26th
354677808,50894,Regular,91st
554718257,83666,Lieutenant,125th
696742962,42710,Major,181st
338736180,43984,Trooper,60th
321655864,50919,Lieutenant,70th
299553849,83695,Lieutenant,15th
302478392,34546,Major,65th
394998843,75513,Cadet,158th
377181243,59137,Cadet,107th
655864893,18188,Trooper,64th
982561852,59149,Lieutenant,164th
124228664,10000,Commander,108th
679425088,26385,Deputy,79th
489387073,34578,Regular,6th
620991553,50963,Cadet,49th
548746307,50964,Lieutenant,134th
278869068,26395,Major,131st
531969102,10015,Major,117th
163443790,26406,Major,1st
691704912,10047,Cadet,189th
221230160,75593,Major,121st
864719958,67405,Deputy,85th
128545880,51022,Commander,112th
709702745,34640,Major,7th
169866332,75610,Cadet,126th
803492958,34651,Cadet,1st
293516385,26460,Commander,60th
156284003,83808,Sergeant,122nd
748098660,10082,Major,188th
746894438,59240,Cadet,49th
450024550,83822,Deputy,127th
518607974,10095,Commander,72nd
421549162,26487,Sergeant,4th
897873003,75642,Trooper,8th
813929578,42880,Regular,1st
681047146,51075,Sergeant,173rd
370971755,59269,Commander,78th
537425007,59279,Sergeant,94th
389018737,26512,Deputy,173rd
365909106,26514,Lieutenant,38th
551842933,42904,Deputy,76th
584709239,67483,Lieutenant,77th
595850359,18335,Sergeant,136th
592950391,92064,Deputy,85th
820597885,26551,Regular,94th
845853822,51130,Regular,71st
608064637,51133,Lieutenant,81st
653137024,51135,Regular,178th
916493440,34753,Cadet,123rd
763450496,42948,Trooper,53rd
484709507,18378,Major,110th
324916351,18380,Lieutenant,102nd
633558141,10190,Cadet,188th
706466953,84984,Regular,177th
220664970,26578,Cadet,164th
566375566,75731,Deputy,20th
123171983,59353,Major,41st
756774032,34778,Sergeant,7th
815035538,34787,Major,62nd
178140306,51175,Major,43rd
289789076,92140,Major,154th
728904853,72701,Lieutenant,7th
923825302,59377,Commander,170th
335590548,94547,Trooper,8th
805745819,44030,Regular,143rd
477115548,42998,Trooper,120th
113161373,59386,Commander,193rd
384136350,34811,Lieutenant,30th
421033117,83970,Deputy,60th
184112293,75784,Lieutenant,186th
882250924,43017,Commander,79th
278090927,59407,Cadet,45th
271504560,75795,Regular,175th
138794161,34841,Sergeant,31st
119469233,92192,Regular,194th
267400369,92193,Deputy,82nd
636015796,34851,Trooper,15th
411817141,59428,Sergeant,195th
384693429,43046,Commander,45th
488101047,59434,Regular,131st
299652281,26667,Major,165th
273945791,43064,Cadet,168th
400848068,30388,Regular,72nd
714052807,18493,Sergeant,118th
868422856,65888,Regular,116th
498226376,75847,Sergeant,93rd
948753608,26702,Cadet,138th
539718858,59472,Deputy,77th
466949324,59473,Regular,158th
652833999,59475,Sergeant,76th
925144271,34904,Major,144th
129889492,34906,Regular,124th
123540693,59491,Regular,31st
610473175,43119,Major,13th
680883417,18544,Trooper,41st
297686235,92274,Deputy,40th
342865116,75891,Commander,127th
435156192,34941,Major,84th
225858785,34950,Deputy,95th
524629217,34955,Cadet,190th
798225636,10384,Deputy,182nd
465818854,18578,Major,99th
887592167,59540,Major,133rd
629789931,31770,Commander,156th
567301358,18592,Regular,153rd
140129519,51362,Commander,91st
838505712,43177,Commander,184th
518558960,26794,Major,9th
293909746,67764,Trooper,89th
102839539,51383,Deputy,8th
437294323,92346,Deputy,47th
326038772,84166,Regular,52nd
461329655,84171,Lieutenant,33rd
112276727,46797,Cadet,171st
785470712,35024,Deputy,159th
548238586,59602,Lieutenant,15th
798913785,75989,Regular,104th
918951163,10466,Major,153rd
749081856,51431,Sergeant,88th
368399619,26884,Deputy,66th
631649541,92421,Cadet,44th
806491398,16771,Major,91st
157136135,92437,Lieutenant,135th
880366857,67862,Deputy,152nd
346199306,10520,Cadet,169th
596301066,76057,Deputy,132nd
729273614,35099,Regular,150th
204870926,18742,Sergeant,23rd
643495182,51526,Cadet,45th
229733649,59721,Commander,70th
214299922,57741,Commander,59th
661656849,84310,Regular,123rd
842757394,59736,Trooper,179th
766383381,35161,Regular,36th
425989398,35165,Trooper,80th
203887895,92511,Cadet,91st
809800984,26976,Regular,119th
659002651,51555,Commander,53rd
804549920,26980,Deputy,43rd
445912354,43365,Regular,188th
735884579,43371,Regular,51st
197670182,10607,Trooper,2nd
539481383,43380,Deputy,168th
622794023,59770,Lieutenant,171st
879056172,76164,Lieutenant,42nd
451777837,10636,Trooper,170th
916043054,43417,Commander,118th
260117807,59802,Sergeant,126th
521925937,59805,Major,149th
384832819,89159,Deputy,160th
383497525,43442,Lieutenant,82nd
102233397,51638,Lieutenant,77th
965653816,10679,Major,16th
947770682,68024,Lieutenant,28th
328676666,35260,Sergeant,31st
917435709,68031,Deputy,43rd
779719999,43461,Sergeant,106th
739915072,10719,Major,90th
587732290,76262,Lieutenant,47th
242939204,76269,Regular,29th
758175048,84466,Regular,22nd
926258509,27127,Commander,176th
302175566,22272,Lieutenant,154th
318444879,18947,Lieutenant,41st
444855632,76299,Lieutenant,153rd
374977873,84495,Trooper,155th
549590361,51728,Major,5th
607712605,92690,Cadet,44th
933270880,68134,Major,187th
475698528,51755,Sergeant,172nd
625767776,27180,Lieutenant,136th
360346979,35373,Commander,80th
691598698,59953,Trooper,130th
514798955,59955,Cadet,92nd
695670124,18999,Regular,34th
587199855,59960,Cadet,39th
960345456,43579,Cadet,64th
372716911,92738,Lieutenant,12th
612914546,92741,Major,63rd
649639279,19017,Deputy,78th
389010805,51791,Major,99th
203052406,84561,Regular,110th
306255222,68188,Commander,136th
557610360,42768,Regular,28th
322467192,90555,Trooper,11th
235672955,19070,Deputy,63rd
101152125,19073,Cadet,35th
823399805,43650,Sergeant,85th
408835453,10891,Regular,111th
479065473,16834,Cadet,59th
833410434,35473,Deputy,61st
934712706,27282,Lieutenant,89th
330560900,27286,Regular,188th
997307781,76445,Sergeant,12th
871363975,59163,Sergeant,90th
451392903,19109,Trooper,13th
986076553,51890,Deputy,102nd
993957262,35509,Cadet,78th
228242831,68281,Sergeant,159th
675501455,92861,Cadet,107th
137876881,76490,Major,45th
624506259,60113,Regular,129th
898897303,18214,Deputy,106th
478819735,76529,Lieutenant,34th
126252440,92915,Cadet,156th
638596506,60149,Major,175th
799290775,19197,Lieutenant,7th
860444057,84734,Lieutenant,120th
406664605,76545,Regular,134th
879809949,76560,Trooper,175th
361641375,92948,Sergeant,175th
469964192,92952,Cadet,194th
111605153,68381,Major,12th
556660130,27426,Deputy,12th
789558686,52007,Regular,22nd
537621924,76593,Commander,132nd
130217382,19266,Lieutenant,148th
829650346,85136,Commander,145th
690804139,43877,Lieutenant,104th
134935980,19315,Cadet,35th
436762029,68470,Regular,94th
941430195,11128,Major,16th
242349492,19339,Deputy,82nd
839734715,84876,Cadet,142nd
495474114,22338,Deputy,39th
134157765,11157,Major,72nd
689616330,35737,Lieutenant,131st
597104081,68510,Cadet,87th
167990738,43946,Trooper,189th
188503510,19395,Sergeant,94th
325907929,52168,Regular,70th
995857883,27593,Sergeant,195th
889419228,84943,Deputy,91st
288519645,93136,Sergeant,81st
289912286,27612,Regular,50th
706876895,76773,Deputy,165th
984102370,84967,Commander,125th
512882148,76777,Major,106th
379065829,19440,Sergeant,177th
456504806,35832,Lieutenant,63rd
253826533,84986,Major,11th
836023784,93182,Commander,67th
991008229,11266,Trooper,168th
804689381,11288,Commander,5th
642176491,19481,Trooper,92nd
993785323,27677,Sergeant,45th
547599848,19486,Deputy,26th
327603695,83804,Trooper,99th
477689329,44077,Cadet,68th
505001458,44079,Sergeant,98th
856389107,27704,Sergeant,138th
602920433,11325,Trooper,27th
306550264,68670,Commander,7th
549574136,16907,Trooper,42nd
835270138,35916,Regular,170th
294761980,52303,Trooper,54th
851785212,68699,Commander,161st
685929985,76894,Cadet,167th
268293635,60526,Major,176th
138114564,52345,Lieutenant,38th
179377671,11390,Cadet,145th
617797128,68752,Deputy,142nd
385824264,19613,Regular,23rd
421893643,60577,Lieutenant,164th
195466764,85163,Cadet,107th
294442509,85164,Cadet,41st
792548880,60595,Lieutenant,161st
615765526,27852,Lieutenant,161st
618051095,93399,Lieutenant,20th
900847128,19673,Cadet,118th
898553368,44256,Regular,35th
338859546,27885,Sergeant,46th
848926242,85231,Trooper,160th
223524387,27892,Deputy,60th
127923748,19704,Sergeant,192nd
142112292,93433,Trooper,20th
105838122,36092,Commander,66th
793392685,60683,Deputy,3rd
177354288,85267,Lieutenant,7th
492754481,60694,Cadet,123rd
367195700,60703,Cadet,82nd
374781496,85280,Regular,118th
142251576,36132,Cadet,181st
510637625,85285,Sergeant,104th
341440056,93480,Commander,104th
509711932,27948,Commander,31st
463836728,93485,Commander,89th
770766398,85294,Trooper,127th
825161280,44335,Regular,123rd
561075777,19760,Commander,152nd
497841730,36155,Major,83rd
862344770,85315,Trooper,148th
779843147,27976,Lieutenant,130th
284030540,11596,Commander,110th
635000397,93517,Sergeant,50th
896915024,93518,Lieutenant,68th
961173073,27984,Cadet,109th
730953299,37432,Regular,114th
643003989,36180,Commander,147th
618124889,93533,Lieutenant,66th
372299354,77170,Regular,2nd
617281117,60787,Sergeant,182nd
845370976,85364,Lieutenant,195th
931485282,36214,Trooper,103rd
964777571,11646,Commander,162nd
756119139,19843,Commander,24th
335558244,11652,Cadet,125th
987371110,85390,Lieutenant,17th
757642855,11670,Trooper,43rd
840562291,11671,Lieutenant,130th
533771892,69030,Cadet,124th
929937012,60842,Cadet,161st
749508215,60849,Trooper,141st
833222265,11699,Regular,11th
148813434,93632,Trooper,101st
372962940,85445,Commander,195th
806254204,19912,Trooper,190th
535311996,19916,Regular,12th
516306559,11736,Sergeant,87th
560993921,19934,Regular,97th
194590337,23803,Sergeant,3rd
109295235,28138,Lieutenant,26th
420673156,60912,Sergeant,116th
168744583,36344,Commander,58th
781981322,28157,Cadet,128th
455161484,77310,Sergeant,131st
100374158,36360,Major,114th
768988815,28169,Trooper,1st
873379473,87981,Trooper,170th
930117265,36373,Cadet,151st
649270935,28187,Sergeant,6th
653244058,52771,Sergeant,138th
187561627,77348,Sergeant,180th
544421532,85542,Deputy,134th
999184029,77359,Deputy,114th
826627739,11826,Major,82nd
966522527,20023,Cadet,186th
327733254,69177,Trooper,65th
806680225,20031,Trooper,131st
473200290,93764,Major,50th
964081314,93773,Sergeant,99th
884651684,11860,Deputy,6th
798398117,61014,Lieutenant,99th
160822948,28248,Commander,179th
147576484,44634,Trooper,194th
237573799,77405,Commander,159th
483800746,69215,Deputy,6th
373405355,20075,Regular,162nd
527455919,93805,Commander,133rd
467244721,52848,Commander,167th
713766580,44661,Sergeant,121st
179926709,85622,Deputy,125th
711177910,44670,Sergeant,126th
993523383,52864,Sergeant,101st
873805496,44677,Cadet,70th
363804341,77452,Lieutenant,4th
128054974,77457,Lieutenant,166th
498120387,77460,Major,103rd
794949318,28326,Lieutenant,126th
243914442,90737,Lieutenant,24th
873313994,85674,Regular,161st
237172428,28343,Major,177th
905377485,93881,Sergeant,114th
149984972,77510,Deputy,66th
476075731,59340,Major,175th
806041300,69322,Cadet,107th
696989398,69326,Cadet,64th
900470491,93904,Cadet,103rd
427259612,61143,Regular,95th
827053792,28379,Commander,13th
859805409,44764,Lieutenant,56th
636860130,36133,Sergeant,8th
585856741,44773,Commander,89th
410613478,28390,Major,16th
130766571,12010,Regular,33rd
981866221,83922,Trooper,30th
133453550,85746,Regular,58th
951990000,12020,Regular,129th
881932018,85752,Trooper,94th
161249015,12029,Lieutenant,87th
237418235,61184,Lieutenant,104th
504108798,55254,Major,122nd
702273281,44809,Deputy,17th
822777607,53010,Deputy,91st
451426059,85781,Lieutenant,173rd
146306830,18394,Regular,84th
881112847,69441,Deputy,73rd
753219347,28482,Trooper,39th
237426451,85830,Trooper,88th
152942359,61257,Deputy,181st
508892952,20302,Trooper,147th
177075996,28502,Major,66th
183383836,94040,Lieutenant,137th
231888671,61273,Sergeant,169th
790173472,77664,Trooper,118th
892655392,77670,Major,134th
433362722,20338,Trooper,80th
952997667,53107,Trooper,141st
727922467,44920,Sergeant,112th
123328290,85886,Trooper,184th
324630308,28544,Trooper,58th
697628455,69506,Major,147th
731109162,12163,Commander,35th
426620714,77700,Lieutenant,128th
730961708,61324,Trooper,110th
840472368,36749,Deputy,101st
622991155,12197,Major,131st
530036532,36775,Deputy,8th
337696563,85933,Cadet,132nd
704444214,85938,Cadet,159th
164312884,77749,Lieutenant,168th
151615288,94136,Cadet,174th
635213625,20425,Regular,124th
333592373,77133,Commander,63rd
247813947,28624,Lieutenant,40th
817231683,45012,Deputy,193rd
746706756,61404,Lieutenant,129th
920934215,45021,Trooper,104th
386873159,36833,Trooper,109th
747681607,77797,Major,46th
811800396,77805,Regular,73rd
192755534,36846,Lieutenant,121st
370300754,65331,Trooper,141st
707876692,61435,Lieutenant,151st
672823125,45052,Lieutenant,127th
660150105,61441,Trooper,62nd
945002330,53259,Lieutenant,53rd
109852508,69645,Deputy,93rd
663377757,61463,Cadet,22nd
533608286,69656,Cadet,37th
604264287,86042,Cadet,10th
734836576,20507,Sergeant,52nd
820123489,69661,Deputy,128th
951433059,94238,Lieutenant,53rd
607197029,61478,Trooper,138th
975099751,28712,Major,4th
100677480,94253,Trooper,24th
476755817,36914,Regular,159th
620844903,83977,Regular,114th
391985005,20539,Cadet,10th
407549806,12348,Regular,59th
578303855,36928,Trooper,177th
657422192,94278,Sergeant,123rd
893687662,61530,Commander,98th
633091951,61532,Deputy,75th
665089907,28767,Major,13th
732051316,53345,Commander,155th
199055219,36962,Commander,105th
841791348,77928,Deputy,20th
685447028,86121,Lieutenant,87th
422459248,36977,Trooper,182nd
775608185,94327,Deputy,114th
732116859,94333,Trooper,8th
580663163,28808,Trooper,105th
694441857,61577,Lieutenant,159th
639620993,94351,Commander,97th
706525061,86168,Deputy,54th
730969990,20634,Cadet,149th
875116423,28828,Trooper,61st
817788812,12450,Lieutenant,88th
329496462,85362,Cadet,26th
498366351,20654,Deputy,72nd
186783631,94383,Commander,27th
646592401,86192,Cadet,171st
746706834,53435,Lieutenant,81st
800626579,61631,Trooper,49th
712300438,68982,Lieutenant,170th
425695132,51235,Major,55th
809097117,45291,Cadet,149th
856594339,78060,Lieutenant,6th
241162148,94447,Sergeant,171st
323573670,45296,Trooper,187th
378738599,85374,Commander,35th
640571306,45303,Commander,39th
229955500,86269,Major,177th
374609837,94463,Cadet,62nd
453097390,94467,Commander,29th
741537715,37124,Sergeant,110th
723392435,20743,Regular,51st
734173107,94472,Sergeant,86th
607451062,28939,Deputy,2nd
197261239,86289,Trooper,135th
964057018,86294,Major,148th
103757757,17114,Deputy,56th
327899070,12574,Regular,7th
997922752,61729,Sergeant,63rd
449517507,12581,Cadet,35th
201471940,78126,Lieutenant,173rd
752048073,94512,Cadet,94th
504739786,94519,Sergeant,166th
205428684,12602,Regular,79th
708736976,69949,Lieutenant,24th
173488081,86338,Cadet,129th
722057170,45387,Regular,43rd
742922193,61774,Sergeant,186th
744912850,78163,Trooper,152nd
603912149,37215,Cadet,103rd
269342677,61809,Major,74th
919877591,29043,Regular,91st
186537943,61812,Major,171st
550754261,49897,Deputy,155th
590739417,70016,Trooper,63rd
222468058,37250,Deputy,141st
786298845,12685,Major,109th
508000222,61843,Trooper,115th
992450527,29091,Commander,161st
663779298,61861,Cadet,11th
872544227,94631,Sergeant,191st
603461604,20912,Deputy,95th
759117798,53681,Sergeant,102nd
254072811,20927,Major,85th
720123884,94657,Commander,107th
824309742,37314,Sergeant,181st
729405425,37315,Deputy,135th
651139063,45510,Sergeant,123rd
939882487,37321,Deputy,145th
858003449,29134,Sergeant,127th
451082233,20956,Commander,85th
187881465,45534,Major,81st
602224635,51280,Commander,133rd
147175421,85414,Deputy,130th
714708989,61944,Lieutenant,6th
644134911,53755,Commander,132nd
434690043,53760,Trooper,144th
428267524,94722,Regular,117th
658290693,53763,Major,32nd
905541637,70148,Major,169th
750196742,86541,Regular,93rd
795318280,86546,Deputy,109th
304994317,82693,Deputy,150th
332404749,94753,Sergeant,123rd
672733202,70178,Deputy,172nd
206239762,70180,Trooper,194th
922613778,53799,Regular,112th
214693908,86791,Major,62nd
218396694,21037,Sergeant,152nd
906524694,62001,Major,83rd
129914899,94776,Commander,65th
936785945,45628,Regular,152nd
634476570,45634,Lieutenant,130th
693843996,26070,Commander,45th
169900061,78411,Regular,177th
330307614,37458,Sergeant,159th
890837023,94808,Commander,50th
843331616,70236,Regular,59th
753088543,12895,Deputy,40th
638040093,21089,Deputy,28th
942888995,94820,Sergeant,12th
963737637,86634,Deputy,167th
663369767,62061,Trooper,139th
303634475,78447,Lieutenant,129th
260536365,37493,Lieutenant,155th
877557807,53880,Major,135th
626735152,86659,Lieutenant,143rd
233281586,94853,Deputy,59th
869333043,12934,Trooper,56th
694433845,21132,Regular,68th
481245239,62095,Lieutenant,41st
443521081,20344,Trooper,72nd
997324858,37528,Trooper,5th
399808573,12953,Regular,81st
437942333,12956,Commander,153rd
327301183,53936,Lieutenant,6th
438982720,12986,Sergeant,178th
676091969,94917,Commander,19th
627603520,94920,Sergeant,45th
328243265,62164,Sergeant,170th
899209285,13025,Cadet,15th
398309446,13027,Deputy,151st
422737989,13041,Deputy,38th
259110983,21235,Lieutenant,151st
551811145,86774,Deputy,185th
613111884,13055,Deputy,30th
549861453,45824,Regular,135th
146323534,13063,Cadet,62nd
963885135,21256,Sergeant,63rd
712947793,78603,Lieutenant,145th
371923026,62224,Sergeant,170th
893352027,95008,Sergeant,23rd
303618141,59526,Sergeant,48th
246970461,70453,Deputy,192nd
481368159,95041,Deputy,151st
557127773,13141,Major,64th
918091870,78678,Regular,169th
132069469,45912,Regular,31st
350460003,95069,Commander,5th
963991653,13150,Lieutenant,65th
852924517,29542,Commander,144th
983570533,21357,Lieutenant,181st
335984747,37758,Regular,150th
176609388,29568,Major,185th
688461935,45954,Regular,131st
419805297,62344,Lieutenant,76th
879515763,70539,Cadet,180th
532265075,78743,Lieutenant,55th
978860150,37787,Lieutenant,70th
893474935,54172,Trooper,61st
745339002,77296,Sergeant,68th
162052219,95142,Lieutenant,158th
907212926,86953,Trooper,77th
945649790,13229,Commander,22nd
984127618,21429,Regular,63rd
324720771,70591,Trooper,190th
264730754,95169,Trooper,99th
762239109,62403,Lieutenant,145th
300087430,21447,Major,72nd
879040645,46027,Deputy,27th
189888649,13263,Sergeant,95th
544651402,62420,Trooper,39th
644118665,70613,Cadet,63rd
859109516,78818,Trooper,34th
814168204,22697,Cadet,185th
865573004,21496,Lieutenant,92nd
701143183,37883,Major,176th
298924174,78864,Sergeant,48th
845592721,70674,Deputy,70th
456390803,62486,Regular,166th
796735638,54296,Major,118th
258824342,29721,Commander,16th
737990807,29724,Cadet,62nd
421230746,21535,Trooper,171st
265844893,70690,Cadet,109th
331667615,97802,Major,39th
294246562,87102,Lieutenant,179th
805034149,29767,Sergeant,5th
530806952,78927,Trooper,96th
898947240,62549,Sergeant,47th
868407468,29782,Commander,50th
680401074,63673,Cadet,148th
287070388,95332,Regular,141st
