ssn,iNumber
103597677,1775
461448717,2321
509232240,1078
717702766,1779
463562014,1299
710362668,1679
861449282,572
399042081,1674
429023540,280
998434333,1676
160785768,282
575316397,285
722895165,284
687694969,1094
402302117,1157
816562475,264
558785302,2499
725115954,2999
628344250,1552
690807970,1557
616768096,2556
791954877,1556
438289853,2990
106447455,2559
710459904,2493
938205278,56
909640750,2995
380511683,1565
565093737,1418
454819883,2394
636592531,2395
482910459,2259
745489847,1558
323911927,2257
545326348,1295
266363118,2250
936977713,1323
350700007,2473
449536843,2773
209101890,986
258261295,2776
388038800,112
388670292,2787
857073427,2782
461325134,2789
797180757,2788
186671827,429
306684059,2171
582075408,918
424525981,2178
299820469,1528
438796324,2075
844997979,1390
604899023,1933
291382994,1936
293520357,846
102458336,843
963518699,374
257016753,797
534906452,1738
117376520,1634
761939469,1635
212035155,1733
808485724,752
205448499,1329
204743530,2813
518111904,561
121283234,562
219603619,563
359965551,2818
551379109,2182
398598306,2181
625328290,2180
611319986,2187
279692763,1593
730783916,2184
207258633,2954
967803099,2188
421905027,2950
770990355,222
470361167,2217
979379388,1188
371450966,1022
102589529,1029
188122296,1181
545882957,727
584983644,1034
850428250,2352
630670941,1747
131293533,2357
127181148,2354
376357050,151
643712171,1167
834725071,1209
851615936,154
138052775,1163
805732802,2431
158171256,2137
630784073,46
758047794,950
729292871,45
519389245,42
713417783,956
316204427,1446
554394909,1298
953197898,1365
177520656,5
591553046,2509
530924934,1440
561259797,1296
543368553,2502
922133831,1363
129222080,2649
169263915,2721
245252819,2645
839909822,2425
536625730,489
489390656,486
743883744,482
486663801,1805
663021318,2002
727131468,1367
741623558,2001
442156830,477
181348106,2009
950437196,1368
