reportNum,cDatetime,cAddress,cDescription,cName,clerkSsn
4254,4/12/2016 11:31,275Nielson Ave,Suspect commited the crime of Extortion. They used a copywriter.,Extortion,641329058
5533,5/23/2017 22:04,537Hulet Dr,Suspect commited the crime of Treason. They used a bud.,Treason,378914724
5532,8/22/2016 14:15,919Enrose St,Suspect commited the crime of Resisting arrest. They used a pencil.,Resisting arrest,656017320
5530,2/25/2016 18:37,354Juniper,Suspect commited the crime of Stalking. They used a giant.,Stalking,972900265
5536,12/17/2016 22:32,268Tulsa St,Suspect commited the crime of Extortion. They used a pioneer.,Extortion,708151212
5534,7/11/2016 23:51,712Hulet Dr,Suspect commited the crime of Homicide. They used a cart.,Homicide,837994418
5538,2/4/2016 21:41,741Hermosa,Suspect commited the crime of Tax evasion. They used a weekend.,Tax evasion,330999732
5628,1/2/2014 12:13,391Dover St,Suspect commited the crime of Rioting. They used a dolphin.,Rioting,836872119
4382,3/24/2014 13:20,309Oakland St,Suspect commited the crime of Tax evasion. They used a innocent.,Tax evasion,155527099
4381,11/6/2016 20:44,362Javelina Ave,Suspect commited the crime of Public indecency. They used a example.,Public indecency,445417408
4380,5/13/2017 12:16,746Dover St,Suspect commited the crime of Embezzlement. They used a save.,Embezzlement,865101763
4387,11/17/2017 16:00,551Ellis St,Suspect commited the crime of Public intoxication. They used a ecclesia.,Public intoxication,587622340
4386,5/15/2014 15:29,492Mountain View Park,Suspect commited the crime of Possession. They used a fix.,Possession,669222852
5621,5/4/2015 13:48,541Hermosa,Suspect commited the crime of Murder. They used a hamburger.,Murder,606463941
4384,7/10/2017 17:51,979Juniper,Suspect commited the crime of Endangerment. They used a beet.,Endangerment,179062727
2032,8/18/2015 16:18,135Greenway St,Suspect commited the crime of Endangerment. They used a arrow.,Endangerment,914999240
3830,6/4/2015 21:00,180Enrose St,Suspect commited the crime of Terrorism. They used a bijou.,Terrorism,243656648
3832,8/26/2015 13:18,714seton Dr,Suspect commited the crime of Wildlife smuggling. They used a enemy.,Wildlife smuggling,923092939
3833,2/28/2015 17:26,342Princess Dr,Suspect commited the crime of Arson. They used a perspective.,Arson,994346956
5995,10/2/2016 23:14,982Bircher,Suspect commited the crime of Fraud. They used a neuropsychiatry.,Fraud,378873805
4030,11/14/2015 10:11,456San Tan St,Suspect commited the crime of Libel. They used a david.,Libel,286361549
5997,5/22/2015 23:23,199Scottsdale,Suspect commited the crime of Tax evasion. They used a cycle.,Tax evasion,770672588
4032,6/10/2016 10:36,596Hulet Dr,Suspect commited the crime of Larceny. They used a yam.,Larceny,147130317
5993,8/7/2017 14:22,933Camino St,Suspect commited the crime of Home invasion. They used a ambassador.,Home invasion,952723408
4036,2017-08-00 20:30:05,474Tulsa St,Suspect commited the crime of Kidnapping. They used a package.,Kidnapping,245499854
5999,2014-02-00 18:32:25,190Vineyard,Suspect commited the crime of Vandalism. They used a inspection.,Vandalism,954861525
5998,2016-01-00 20:12:56,533Vineyard,Suspect commited the crime of Vandalism. They used a chance.,Vandalism,548685782
4734,7/4/2014 22:47,124Hermosa,Suspect commited the crime of Arson. They used a e-reader.,Arson,144246741
2309,5/13/2017 17:32,970Javelina Ave,Suspect commited the crime of Public indecency. They used a kilometer.,Public indecency,612493276
4729,7/12/2015 14:39,614Nielson Ave,Suspect commited the crime of Libel. They used a quit.,Libel,856532957
4725,9/8/2016 19:33,411Shannon St,Suspect commited the crime of Cruelty to animals. They used a basin.,Cruelty to animals,415975391
2300,9/5/2016 22:09,859seton Dr,Suspect commited the crime of Attempted murder. They used a pyramid.,Attempted murder,895576032
2303,11/23/2014 19:00,772Stephens Cir,Suspect commited the crime of Wildlife smuggling. They used a candidate.,Wildlife smuggling,885663713
3204,6/17/2015 10:15,453Hill Ave,Suspect commited the crime of Impersonator. They used a beef.,Impersonator,422832097
5843,3/18/2014 21:30,113Hermosa,Suspect commited the crime of Impersonator. They used a addiction.,Impersonator,335300577
5841,10/27/2016 16:26,548Decatur St,Suspect commited the crime of Sedition. They used a office.,Sedition,177784802
5849,7/12/2017 20:28,840Extension,Suspect commited the crime of Conspiracy. They used a washer.,Conspiracy,668551137
3748,8/3/2015 14:31,566Palm St,Suspect commited the crime of Attempted murder. They used a sarong.,Attempted murder,649963491
3747,4/16/2016 17:58,968Brown Rd,Suspect commited the crime of Illegal entry. They used a lier.,Illegal entry,284149735
3744,5/26/2016 23:19,640Shannon St,Suspect commited the crime of Fraud. They used a alto.,Fraud,716130272
3745,4/27/2014 10:31,531Julep St,Suspect commited the crime of Assault. They used a key.,Assault,281675754
3740,12/26/2014 20:45,681Ellis St,Suspect commited the crime of Domestic violence. They used a angora.,Domestic violence,193062892
4621,12/24/2017 21:10,511Ellis St,Suspect commited the crime of Sedition. They used a weapon.,Sedition,685000685
4624,1/10/2016 12:25,504McLellan Rd,Suspect commited the crime of Racketeering. They used a peanut.,Racketeering,345638893
4627,10/14/2014 17:44,710Elmwood St,Suspect commited the crime of Shoplifting. They used a yarn.,Shoplifting,108316661
2272,2/5/2015 15:43,744Dover St,Suspect commited the crime of Resisting arrest. They used a junket.,Resisting arrest,870057978
2279,2/10/2015 19:37,912Galveston St,Suspect commited the crime of Shoplifting. They used a armoire.,Shoplifting,520316922
2278,9/28/2015 10:11,539North Ave,Suspect commited the crime of Cruelty to animals. They used a whiskey.,Cruelty to animals,497674237
2458,3/4/2017 19:01,827Camelback Village,Suspect commited the crime of Tax evasion. They used a burn.,Tax evasion,880093184
2457,11/25/2015 19:53,155Mountain View Park,Suspect commited the crime of Arson. They used a bonsai.,Arson,938813441
2456,11/7/2017 13:16,103Hermosa,Suspect commited the crime of Smuggling. They used a eyelashes.,Smuggling,987768835
2450,10/22/2017 22:33,727Fox St,Suspect commited the crime of Rioting. They used a palm.,Rioting,586606596
2050,7/25/2016 20:10,348San Tan St,Suspect commited the crime of Extortion. They used a schedule.,Extortion,556632068
4539,7/26/2016 21:16,354Fox St,Suspect commited the crime of Possession. They used a abolishment.,Possession,580757513
4829,5/25/2015 12:19,639Maple Ave,Suspect commited the crime of Shoplifting. They used a SUV.,Shoplifting,124987402
2058,12/23/2016 23:22,975Julep St,Suspect commited the crime of Assault. They used a spine.,Assault,820152335
3692,10/21/2014 19:15,379Hill Ave,Suspect commited the crime of Forgery. They used a sister.,Forgery,257624080
4537,12/28/2014 17:08,774Stephens Cir,Suspect commited the crime of Wildlife smuggling. They used a anesthesiology.,Wildlife smuggling,553871377
4822,7/1/2016 16:23,952Fountain St,Suspect commited the crime of Stealing. They used a hardcover.,Stealing,875956240
4531,5/23/2015 23:38,337Javelina Ave,Suspect commited the crime of Home invasion. They used a bolt.,Home invasion,141592599
4532,2014-05-00 10:42:21,978McQueen Rd,Suspect commited the crime of Burglary. They used a foam.,Burglary,642123806
4533,2/8/2017 17:22,544North Ave,Suspect commited the crime of Sedition. They used a necromancer.,Sedition,683591711
3525,8/11/2014 20:13,947Grove Ave,Suspect commited the crime of Shoplifting. They used a aardvark.,Shoplifting,665765919
3521,12/13/2017 19:26,240Enrose St,Suspect commited the crime of Abduction. They used a chocolate.,Abduction,731637792
3528,2/24/2015 17:26,317Encanto St,Suspect commited the crime of Blackmail. They used a pea.,Blackmail,892676126
2698,4/14/2017 13:47,355Oakland St,Suspect commited the crime of Shoplifting. They used a knife.,Shoplifting,209774625
2697,4/4/2015 10:47,942Decatur St,Suspect commited the crime of Fraud. They used a refrigerator.,Fraud,591898660
2695,8/15/2015 23:48,941Dover St,Suspect commited the crime of Homicide. They used a surprise.,Homicide,948668452
2691,12/24/2016 18:24,911Maple Ave,Suspect commited the crime of Racketeering. They used a map.,Racketeering,453347369
3672,8/7/2014 12:22,944Decatur St,Suspect commited the crime of Racketeering. They used a conversation.,Racketeering,613713962
3673,1/23/2017 12:23,608Evergreen St,Suspect commited the crime of Illegal entry. They used a verdict.,Illegal entry,609593387
3232,8/17/2015 16:24,752Camino St,Suspect commited the crime of Arson. They used a blank.,Arson,803301422
3233,3/16/2016 14:48,746Dover St,Suspect commited the crime of Arson. They used a laryngitis.,Arson,938756143
3230,8/16/2014 11:52,220Higley Rd,Suspect commited the crime of Battery. They used a error.,Battery,989145137
3231,1/3/2015 23:35,164Gable Ave,Suspect commited the crime of Murder. They used a casino.,Murder,382355505
3236,12/21/2014 22:16,637Javelina Ave,Suspect commited the crime of Possession. They used a glove.,Possession,725428273
3235,2/25/2014 18:36,736Juniper,Suspect commited the crime of Home invasion. They used a piece.,Home invasion,436152372
5195,2/28/2016 19:13,277McLellan Rd,Suspect commited the crime of Rioting. They used a filly.,Rioting,651520063
5194,10/21/2017 15:14,212Camelback Village,Suspect commited the crime of Stealing. They used a skunk.,Stealing,570255424
3238,7/1/2016 18:38,966Scottsdale,Suspect commited the crime of Shoplifting. They used a shoemaker.,Shoplifting,295503941
3239,12/8/2017 12:25,808North Ave,Suspect commited the crime of Extortion. They used a cargo.,Extortion,501663814
5190,11/28/2014 21:34,525Downing St,Suspect commited the crime of Tax evasion. They used a thorn.,Tax evasion,738666565
5193,5/17/2016 22:54,521North Ave,Suspect commited the crime of Extortion. They used a brood.,Extortion,532187205
5192,8/23/2014 18:16,981Lema Dr,Suspect commited the crime of Assault. They used a battery.,Assault,399108166
2872,9/15/2015 14:43,350Lema Dr,Suspect commited the crime of Attempted murder. They used a checkroom.,Attempted murder,327444550
2871,9/27/2014 11:48,460Maple Ave,Suspect commited the crime of Smuggling. They used a run.,Smuggling,870836297
2870,8/18/2015 16:56,507Nielson Ave,Suspect commited the crime of Vandalism. They used a michael.,Vandalism,156584005
2877,9/18/2014 21:32,378Tower Ave,Suspect commited the crime of Vandalism. They used a zoologist.,Vandalism,907995215
2876,12/11/2015 20:39,655Bircher,Suspect commited the crime of Domestic violence. They used a united kingdom.,Domestic violence,848398417
2875,2/15/2016 13:39,321Grove Ave,Suspect commited the crime of Attempted murder. They used a bottom.,Attempted murder,431466578
2874,7/7/2015 17:19,258Stephens Cir,Suspect commited the crime of Impersonator. They used a lentil.,Impersonator,460859474
2879,1/27/2017 15:00,325Elmwood St,Suspect commited the crime of Assault. They used a rainstorm.,Assault,358410326
3354,12/28/2017 16:45,921McQueen Rd,Suspect commited the crime of Arson. They used a chit-chat.,Arson,297674838
3350,2015-01-00 17:36:31,576Vineyard,Suspect commited the crime of Rioting. They used a euphonium.,Rioting,579487833
3353,9/20/2014 15:24,527Jarvis Ave,Suspect commited the crime of Bribery. They used a cotton.,Bribery,737822810
3352,1/21/2015 20:31,482Impala Ave,Suspect commited the crime of Blackmail. They used a broiler.,Blackmail,620890202
5448,2014-08-00 10:54:40,345Enrose St,Suspect commited the crime of Bribery. They used a knife.,Bribery,392570971
5441,2/2/2015 17:06,635Ellis St,Suspect commited the crime of Cruelty to animals. They used a route.,Cruelty to animals,570263647
5445,1/14/2016 12:30,625Extension,Suspect commited the crime of Treason. They used a way.,Treason,226412644
4536,12/13/2017 18:53,830Camelback Village,Suspect commited the crime of Vandalism. They used a mosquito.,Vandalism,333375591
5506,8/16/2014 10:22,515Extension,Suspect commited the crime of Libel. They used a octet.,Libel,240986216
5507,10/3/2014 20:15,741Fountain St,Suspect commited the crime of Harassment. They used a lynx.,Harassment,517032040
5504,11/15/2014 21:12,711Evergreen St,Suspect commited the crime of Illegal entry. They used a maybe.,Illegal entry,743434349
5618,3/18/2015 18:49,877Juniper,Suspect commited the crime of Obscenity. They used a yacht.,Obscenity,674007152
5619,5/25/2015 16:34,260Harris Dr,Suspect commited the crime of Home invasion. They used a boogeyman.,Home invasion,468346993
5613,9/1/2014 22:07,444Princess Dr,Suspect commited the crime of Public intoxication. They used a mousse.,Public intoxication,855582832
5610,8/13/2014 16:42,252North Ave,Suspect commited the crime of Burglary. They used a cinema.,Burglary,811288694
5616,8/16/2017 12:23,937Adobe Rd,Suspect commited the crime of Stalking. They used a mud.,Stalking,270141558
5474,6/6/2014 19:55,772Hulet Dr,Suspect commited the crime of Battery. They used a actor.,Battery,977782905
3323,7/25/2015 19:24,483Bircher,Suspect commited the crime of Battery. They used a heyday.,Battery,901040250
3826,1/8/2014 21:58,178Encanto St,Suspect commited the crime of Assault. They used a calculus.,Assault,905750651
3825,4/7/2015 16:19,590Elmwood St,Suspect commited the crime of Rioting. They used a cancel.,Rioting,828246141
3824,12/20/2017 18:29,526Evergreen St,Suspect commited the crime of Harassment. They used a encyclopedia.,Harassment,606644350
3822,4/15/2015 14:17,148Mountain View Park,Suspect commited the crime of Extortion. They used a bowtie.,Extortion,164604032
2769,9/16/2016 12:43,258Galveston St,Suspect commited the crime of Burglary. They used a beverage.,Burglary,691415169
3829,11/20/2015 14:27,210Keating Ave,Suspect commited the crime of Kidnapping. They used a scene.,Kidnapping,649996418
2768,9/20/2016 23:39,775Caballero St,Suspect commited the crime of Murder. They used a ease.,Murder,873113730
3585,2/26/2014 15:19,361Guadalupe Rd,Suspect commited the crime of Attempted murder. They used a mambo.,Attempted murder,946825347
4283,7/25/2015 23:59,272Impala Ave,Suspect commited the crime of Sedition. They used a supply.,Sedition,793159814
4281,5/24/2015 19:13,642Evergreen St,Suspect commited the crime of Perjury. They used a pigeon.,Perjury,315230342
4286,7/26/2016 11:33,348Princess Dr,Suspect commited the crime of Fraud. They used a babies.,Fraud,631433353
4287,3/8/2017 13:11,238Downing St,Suspect commited the crime of Resisting arrest. They used a boy.,Resisting arrest,853477515
5004,10/16/2014 15:31,475Harris Dr,Suspect commited the crime of Battery. They used a climate.,Battery,920373388
3588,5/16/2017 20:16,898seton Dr,Suspect commited the crime of Battery. They used a inn.,Battery,594864268
4758,9/3/2017 22:18,562Camino St,Suspect commited the crime of Embezzlement. They used a lake.,Embezzlement,984713358
4753,2014-02-00 20:25:44,971Merino Ave,Suspect commited the crime of Cruelty to animals. They used a truckit.,Cruelty to animals,808413327
4754,12/28/2014 10:27,850Higley Rd,Suspect commited the crime of Terrorism. They used a history.,Terrorism,711321745
4756,7/17/2017 20:20,298Harris Dr,Suspect commited the crime of Arson. They used a painter.,Arson,251562134
5872,2/14/2017 15:40,281Ivanhoe St,Suspect commited the crime of Wildlife smuggling. They used a reward.,Wildlife smuggling,764643479
5873,3/11/2015 17:17,889Shannon St,Suspect commited the crime of Battery. They used a ornament.,Battery,989415581
5871,3/11/2014 11:55,172Scottsdale,Suspect commited the crime of Larceny. They used a torso.,Larceny,702498975
5874,9/27/2015 16:20,174Camino St,Suspect commited the crime of Cruelty to animals. They used a toothpick.,Cruelty to animals,115165351
5879,3/18/2016 16:24,705Shannon St,Suspect commited the crime of Harassment. They used a disposer.,Harassment,509552808
3758,1/24/2014 14:45,250Elmwood St,Suspect commited the crime of Murder. They used a shingle.,Murder,508766379
3751,2/13/2014 22:03,447San Tan St,Suspect commited the crime of Stalking. They used a mention.,Stalking,504162477
3750,1/16/2015 20:48,316Maple Ave,Suspect commited the crime of Treason. They used a shop.,Treason,128723118
3757,8/13/2015 19:21,930Princess Dr,Suspect commited the crime of Battery. They used a organisation.,Battery,151251119
2190,10/24/2015 11:19,612Shannon St,Suspect commited the crime of Embezzlement. They used a state.,Embezzlement,912378032
2193,3/5/2017 12:10,750Tower Ave,Suspect commited the crime of Kidnapping. They used a recruit.,Kidnapping,541698226
4637,12/22/2014 19:22,757Tulsa St,Suspect commited the crime of Attempted murder. They used a boatyard.,Attempted murder,276129974
2196,2/28/2016 18:43,846Vineyard,Suspect commited the crime of Libel. They used a government.,Libel,401762487
2199,3/23/2015 13:28,947Caballero St,Suspect commited the crime of Racketeering. They used a jaw.,Racketeering,873343160
4638,7/23/2014 18:20,514Downing St,Suspect commited the crime of Rioting. They used a husband.,Rioting,126552249
2429,8/3/2016 22:41,716Palm St,Suspect commited the crime of Cruelty to animals. They used a cockpit.,Cruelty to animals,680298678
2423,8/27/2017 23:23,363Palm St,Suspect commited the crime of Kidnapping. They used a stress.,Kidnapping,195012792
3688,7/16/2016 15:38,264Caballero St,Suspect commited the crime of Obscenity. They used a determination.,Obscenity,952903864
4528,4/4/2014 12:56,591Hill Ave,Suspect commited the crime of Conspiracy. They used a suit.,Conspiracy,537143486
4831,10/26/2014 12:15,495Encanto St,Suspect commited the crime of Tax evasion. They used a pickle.,Tax evasion,889039042
4830,9/6/2014 18:10,157Merino Ave,Suspect commited the crime of Sedition. They used a cloak.,Sedition,141699266
4525,11/5/2014 20:57,551Gable Ave,Suspect commited the crime of Arson. They used a pad.,Arson,882346183
4524,4/7/2016 20:59,458Nielson Ave,Suspect commited the crime of Rioting. They used a senator.,Rioting,984295623
4835,11/25/2014 13:13,925Gable Ave,Suspect commited the crime of Cruelty to animals. They used a chateau.,Cruelty to animals,878454986
4522,10/13/2017 13:09,881Merino Ave,Suspect commited the crime of Forgery. They used a single.,Forgery,849422548
4837,2017-10-00 15:18:01,123Adobe Rd,Suspect commited the crime of Assault. They used a coevolution.,Assault,826730710
4836,4/21/2016 15:30,642Hulet Dr,Suspect commited the crime of Attempted murder. They used a custodian.,Attempted murder,738158807
2518,1/14/2016 14:58,969Fox St,Suspect commited the crime of Trespassing. They used a allergist.,Trespassing,820529368
2510,2/13/2016 10:40,968Greenway St,Suspect commited the crime of Stealing. They used a kamikaze.,Stealing,228968666
2512,5/8/2014 11:52,106Mountain View Park,Suspect commited the crime of Home invasion. They used a china.,Home invasion,920291547
2734,1/15/2016 15:59,434Javelina Ave,Suspect commited the crime of Conspiracy. They used a bottom.,Conspiracy,765978842
2737,8/5/2017 18:30,712Dartmouth Rd,Suspect commited the crime of Extortion. They used a console.,Extortion,347867362
2732,4/11/2017 20:06,152Javelina Ave,Suspect commited the crime of Shoplifting. They used a data.,Shoplifting,401000675
5296,12/26/2014 18:10,521Ellis St,Suspect commited the crime of Stealing. They used a briefs.,Stealing,697600228
2738,2/5/2014 21:32,618Guadalupe Rd,Suspect commited the crime of Public indecency. They used a mist.,Public indecency,180766950
5291,10/23/2015 16:37,708Clara Vista Dr,Suspect commited the crime of Tax evasion. They used a metronome.,Tax evasion,180619498
5058,3/13/2017 14:54,977Stephens Cir,Suspect commited the crime of Illegal entry. They used a value.,Illegal entry,499558639
5059,3/22/2017 10:45,201Ingram,Suspect commited the crime of Endangerment. They used a rainmaker.,Endangerment,351340784
3537,9/20/2015 14:56,859Adobe Rd,Suspect commited the crime of Larceny. They used a speech.,Larceny,962480371
5054,6/27/2016 14:05,635Javelina Ave,Suspect commited the crime of Bribery. They used a outrigger.,Bribery,627755252
3538,12/5/2014 20:19,320Stephens Cir,Suspect commited the crime of Smuggling. They used a taiwan.,Smuggling,276941046
5051,10/5/2016 13:06,421Ellis St,Suspect commited the crime of Home invasion. They used a greek.,Home invasion,107129079
5052,2/16/2016 17:43,576Jarvis Ave,Suspect commited the crime of Rioting. They used a teacher.,Rioting,649955576
3229,2/7/2017 15:22,334Javelina Ave,Suspect commited the crime of Bank Robbery. They used a capricorn.,Bank Robbery,478513400
3222,8/11/2016 14:48,361Oakland St,Suspect commited the crime of Treason. They used a lantern.,Treason,359966970
2847,12/10/2017 13:58,339McQueen Rd,Suspect commited the crime of Cruelty to animals. They used a pet.,Cruelty to animals,640190714
2845,3/28/2015 11:46,656Dartmouth Rd,Suspect commited the crime of Stalking. They used a soldier.,Stalking,912943357
2843,9/18/2017 11:23,718Harris Dr,Suspect commited the crime of Kidnapping. They used a chord.,Kidnapping,383789309
3320,5/24/2017 21:53,208Harris Dr,Suspect commited the crime of Homicide. They used a torso.,Homicide,284100862
5477,11/12/2017 13:37,372Merino Ave,Suspect commited the crime of Wildlife smuggling. They used a pavement.,Wildlife smuggling,930998526
3322,3/14/2017 22:52,943Halifax St,Suspect commited the crime of Illegal entry. They used a former.,Illegal entry,379832574
5475,8/23/2016 13:43,952Palm St,Suspect commited the crime of Arson. They used a perfume.,Arson,102451458
